y	x
2039	1903
2037	1848
2029	585
2034	2412
2013	574
2011	2168
2010	1937
2012	2014
2004	1498
2002	1540
1999	1661
1995	1695
1988	1717
1989	557
1988	1745
1986	2464
1986	1516
1979	2396
1978	1792
1979	1904
1979	1866
1977	2004
1974	1701
1976	1572
1974	1550
1973	1470
1971	2233
1966	1819
1968	1347
1959	1699
1956	2187
1955	1787
1953	1744
1954	2067
1953	559
1951	1955
1950	2471
1950	2376
1952	1888
1951	1430
1948	1854
1947	1346
1945	1836
1944	1682
1940	1659
1940	1628
1941	1546
1938	1726
1935	1915
1933	2407
1936	1493
1933	576
1931	1700
1934	1305
1930	1244
1926	1893
1924	1756
1924	2270
1922	1847
1920	1597
1917	638
1917	1679
1916	1625
1907	2190
1905	2080
1904	1719
1901	1921
1899	2281
1901	1157
1897	1888
1898	1812
1895	2488
1894	1953
1893	1865
1897	1444
1888	1677
1890	1980
1891	1185
1888	2356
1884	1572
1884	1823
1881	1634
1881	2332
1876	1971
1877	1358
1875	2487
1874	2471
1873	1902
1870	2502
1872	2153
1874	1243
1868	1927
1866	1762
1867	1741
1869	1159
1866	1440
1863	1957
1861	532
1860	1872
1860	1211
1857	2406
1860	860
1857	2291
1857	981
1853	1719
1849	2188
1850	2252
1851	896
1847	2012
1845	2152
1844	1855
1846	1653
1845	1099
1841	1603
1839	1916
1836	1821
1837	1128
1834	2035
1834	1234
1830	2457
1830	1985
1829	1352
1828	2173
1826	1841
1826	2204
1824	2096
1827	1494
1821	1799
1820	1375
1821	1173
1820	671
1819	1061
1817	455
1817	1207
1815	1941
1816	1741
1813	1886
1812	2042
1810	1312
1810	983
1809	917
1807	1839
1807	1784
1808	1627
1807	2281
1807	2084
1805	133
1804	1725
1802	1769
1803	291
1802	1273
1797	151
1797	2375
1796	1804
1795	2187
1788	2098
1789	2043
1789	1987
1788	1852
1787	1250
1788	440
1788	2157
1785	345
1785	1967
1783	386
1778	1948
1779	1652
1780	950
1777	2329
1777	1839
1775	1900
1775	2082
1773	1723
1774	1229
1774	1154
1773	319
1772	456
1770	643
1768	1790
1768	233
1767	431
1766	2453
1762	1847
1762	478
1759	253
1758	2167
1758	1939
1760	1048
1760	372
1757	1589
1754	1962
1756	665
1753	601
1753	2408
1756	816
1751	2335
1749	1777
1750	1187
1750	2213
1745	1730
1742	501
1738	2025
1735	1273
1737	924
1737	1884
1737	730
1739	1266
1736	2128
1735	1845
1734	1802
1733	425
1731	2091
1732	1709
1731	1940
1721	1469
1726	317
1724	850
1721	668
1722	1325
1722	469
1721	1212
1720	338
1719	186
1716	1466
1720	1049
1716	2005
1715	1984
1710	2198
1709	1767
1708	651
1709	542
1702	1193
1702	1383
1700	695
1701	376
1699	630
1698	528
1692	1119
1696	27
1692	175
