y	x
1960	903
1948	795
1937	821
1826	1055
1795	2336
1792	2238
1793	1140
1771	2352
1769	2254
1768	2336
1764	2521
1763	2367
1761	2417
1764	1323
1763	916
1760	2279
1752	2341
1752	767
1748	2422
1743	2367
1739	2278
1741	1020
1734	2358
1734	1328
1729	817
1724	958
1719	2370
1718	675
1713	679
1716	870
1718	1374
1706	2405
1705	2207
1701	2242
1691	2311
1688	2271
1682	2317
1685	2168
1683	2261
1686	1013
1689	1423
1682	854
1678	930
1670	2207
1662	2193
1664	2155
1659	2336
1653	2277
1653	2166
1650	2126
1654	913
1653	849
1654	1027
1647	2352
1648	660
1643	2126
1636	2339
1637	2202
1631	2389
1634	701
1630	2278
1631	949
1629	2429
1624	2154
1621	2235
1624	848
1622	2311
1620	2259
1620	879
1620	2101
1620	902
1609	2223
1608	2248
1593	2214
1591	2369
1590	2092
1586	2183
1583	2246
1579	2023
1573	2232
1572	2205
1573	2091
1567	885
1565	2356
1565	2184
1562	2127
1560	2083
1556	2337
1560	953
1557	807
1557	2166
1554	684
1550	760
1551	2141
1547	2248
1546	2095
1543	2180
1540	877
1538	835
1539	2156
1531	2070
1527	2243
1529	2314
1528	2140
1527	778
1524	2225
1520	2077
1520	2408
1515	859
1513	2307
1509	2364
1508	2187
1510	2131
1508	2112
1503	927
1504	2214
1502	2424
1500	2506
1501	890
1499	2247
1494	2034
1493	778
1495	2265
1491	2203
1491	2084
1486	2064
1484	2254
1482	2173
1482	2014
1481	2114
1478	2381
1476	2343
1477	2056
1471	2102
1471	2204
1470	2327
1466	2496
1464	2108
1464	2295
1463	2071
1461	2047
1461	1918
1455	781
1454	2175
1456	1183
1452	1979
1451	2201
1449	637
1446	2106
1447	1902
1446	2064
1444	2332
1440	1879
1434	2213
1434	1918
1436	2249
1436	2023
1431	2293
1433	2136
1431	2101
1431	1950
1434	1215
1428	2321
1426	2038
1423	2161
1421	540
1415	2227
1416	2092
1416	2029
1417	912
1415	2067
1415	513
1410	1945
1410	2172
1409	1974
1412	2113
1405	2255
1407	970
1404	1902
1403	1781
1400	2143
1399	2103
1399	1823
1398	760
1398	399
1394	615
1391	2240
1394	1316
1391	1945
1392	1930
1390	2173
1389	1972
1387	1989
1389	852
1387	2270
1381	1845
1385	1110
1383	1863
1381	2024
1379	2062
1375	1842
1374	1902
1374	2091
1369	1880
1371	2262
1370	2463
1368	2175
1368	1817
1367	941
1365	1959
1361	559
1365	2332
1362	2015
1364	1278
1358	2229
1357	2429
