y	x
2000	1319
1993	1021
1987	1419
1974	867
1967	1246
1966	1181
1957	1370
1950	1638
1945	985
1951	1146
1934	1195
1930	1736
1915	1080
1916	1683
1917	1044
1912	1113
1911	952
1891	1003
1890	958
1892	1384
1888	1651
1872	1207
1868	1698
1862	1696
1861	1571
1853	853
1849	1195
1843	1630
1838	1152
1839	1128
1836	905
1837	666
1834	899
1833	1078
1829	1490
1823	744
1822	1153
1819	1260
1818	810
1815	1455
1814	1033
1811	1089
1810	1631
1804	985
1805	1710
1803	1602
1802	620
1798	816
1797	1766
1796	833
1791	644
1786	1646
1783	560
1784	1219
1782	953
1781	1167
1778	1134
1771	841
1771	603
1770	1283
1767	893
1758	1213
1756	1689
1756	1566
1755	801
1753	1549
1752	2253
1754	1087
1754	721
1751	681
1749	2339
1747	1504
1746	604
1743	1444
1738	1881
1734	727
1731	811
1727	568
1724	2236
1726	905
1723	1090
1719	1292
1719	851
1718	785
1709	1639
1706	1557
1703	1012
1700	1748
1696	562
1692	1312
1689	2313
1686	1445
1683	1685
1682	1177
1677	704
1676	1603
1676	1310
1677	1212
1672	571
1669	782
1659	1564
1657	1228
1658	635
1656	1431
1657	732
1653	1793
1648	734
1650	798
1649	1383
1639	1247
1641	1658
1640	1481
1636	1218
1627	1848
1629	1089
1628	634
1621	1200
1621	988
1620	659
1619	1294
1619	1438
1616	93
1612	1223
1612	1048
1612	707
1604	853
1604	511
1601	1278
1601	625
1600	1368
1593	1442
1593	1035
1590	731
1590	475
1590	983
1591	819
1586	1267
1584	1494
1584	1109
1583	1133
1581	705
1579	601
1575	1156
1570	673
1570	858
1562	1462
1563	767
1558	928
1557	1358
1543	550
1538	1243
1541	711
1529	668
1522	1632
1521	939
1522	800
1524	395
1521	1496
1519	1069
1517	591
1516	1423
1521	1304
1512	969
1510	542
1508	1354
1505	372
1505	1524
1504	791
1503	313
1503	874
1502	2395
1497	1003
1494	718
1488	1328
1490	928
1488	1442
1488	248
1487	1243
1485	763
1485	880
1484	1164
1484	951
1482	1347
1481	853
1480	495
1480	1665
1478	1550
1474	780
1474	1191
1470	1505
1471	1468
1471	1418
1470	609
1466	1332
1466	382
1464	1488
1464	1271
1465	11
1454	1831
1454	925
1455	195
1451	245
1451	1532
1446	1561
1447	1133
1447	784
1445	1512
1443	1603
1439	849
1440	184
1438	1193
1439	1491
1438	538
1433	1343
1433	929
1425	1543
1426	1064
1420	1152
1417	2421
1417	2539
1418	813
1414	2200
1414	1640
1415	273
1412	1815
1412	368
1409	1039
1408	1750
1407	1436
1405	1236
1403	915
1400	2011
1399	726
1398	1181
1397	1513
1396	155
1392	1865
1393	1270
1391	1196
1390	2502
1390	1682
1387	821
1385	790
1384	1234
1383	2377
1381	1542
1382	1078
1382	995
1374	2295
1373	1601
1373	969
1370	1923
1369	2275
1368	1372
1368	893
1367	838
1365	1048
1360	1984
1358	1677
1358	1167
1351	2049
1352	1241
1351	809
1351	1532
1349	1724
1347	684
1346	957
1345	2099
1344	1135
1343	1156
1342	975
1340	2402
1340	1632
1338	1828
1338	1094
1338	60
1334	2533
1334	2136
1332	1503
1332	1205
1332	394
1330	2490
1330	2013
1326	1943
1325	1709
1327	1289
1324	1233
1324	1075
1323	1359
1319	1455
1319	1257
1316	1035
1316	884
1314	1054
1310	978
1308	1900
1307	1518
1303	488
1300	1586
1301	1383
1302	1019
1298	1859
1299	1648
1299	1275
1295	1623
1294	1948
1294	1879
1295	1123
1293	1351
1293	1315
1293	2515
1292	1923
1292	2131
1292	54
1290	732
1288	1904
1289	1035
1287	1298
1289	184
1285	1070
1284	1431
1280	193
1283	1379
1282	826
1277	2448
1279	1858
1279	1168
1273	1890
1265	1742
1267	1143
1260	1051
1260	1282
1258	1644
1258	1349
1256	1881
1256	1237
1253	1203
1253	286
1252	2254
1252	1118
1249	1152
1245	1627
1245	1345
1244	1264
1243	1187
1241	1471
1243	761
1240	1290
1239	1852
1237	1309
1236	982
1235	1441
1234	1106
1233	1884
1234	1702
1234	1413
1231	1357
1228	2359
1225	2080
1224	1535
1224	970
1224	943
1223	1157
1221	2515
1224	467
1218	1487
1215	1603
1217	1975
1216	1203
1214	610
1212	264
1211	1946
1212	908
1209	2001
1209	1763
1210	304
1208	1004
1209	814
1208	553
1207	1039
1197	1285
1196	2539
1198	1578
1197	1522
1197	1292
1196	1330
1196	1059
1195	585
1193	1403
1192	1090
1189	476
1188	2380
1185	1791
1185	552
1189	1456
1181	991
1181	535
1180	1753
1180	1253
1175	2007
1164	2473
1162	1379
1160	1334
1159	1582
1156	2067
1155	1108
1154	1307
1153	479
1150	1460
1149	1553
1148	1219
1147	1087
1147	650
1143	1695
1144	1145
1141	2019
1141	1360
1140	376
1140	2307
1139	1741
1141	142
1135	1660
1135	796
1131	1627
1129	1203
1128	1424
1122	1677
1126	1269
1126	982
1124	1717
1122	2314
1119	1523
1119	1049
1121	219
1117	767
1116	1849
1113	437
1113	1474
1111	2233
1113	878
1110	1791
1109	1223
1110	2428
1110	2014
1109	2097
1104	543
1105	683
1097	1592
1101	1504
1099	527
1095	1570
1095	1642
1097	595
1097	569
1096	1533
1093	1353
1091	397
1085	753
1083	1510
1082	1282
1082	858
1083	613
1080	2061
1079	1186
1078	676
1077	1303
1076	710
1071	1333
1072	1208
1070	583
1068	1231
1071	1077
1070	484
1066	1711
1061	1954
1055	1606
1060	1415
1057	681
1055	1467
1055	578
1052	499
1048	1646
1047	1503
1047	167
1047	1588
1047	824
1044	776
1040	1391
1039	860
1035	929
1032	1609
1035	1171
1032	1642
1029	2085
1028	1519
1029	1476
1035	712
1028	1820
1024	1414
1025	1141
1021	1442
1020	1260
1021	1108
1016	365
1012	1709
1013	1583
1013	1350
1007	1745
1006	1666
1008	174
1007	2360
1008	781
1003	2114
1000	1477
998	1546
996	1807
996	668
993	1361
990	1589
991	578
984	1510
985	1019
985	1241
985	991
978	1512
981	1678
982	512
980	1544
980	1323
979	1828
975	1738
976	1975
975	1637
976	890
971	1859
971	668
971	1434
967	2053
963	1592
965	77
962	1506
962	1541
959	222
953	1745
952	1719
958	2140
954	1095
953	334
954	1939
954	1571
951	1603
950	1457
944	1889
939	287
939	1565
939	522
939	1040
936	1920
935	874
933	1751
934	672
930	1982
925	1547
927	10
926	1626
923	1395
914	1646
918	1111
916	1172
915	2394
915	1855
915	1070
907	516
904	850
905	335
903	1565
903	753
903	1020
899	1665
899	1614
897	979
896	1963
897	587
895	2484
893	1344
888	632
887	1397
888	2409
884	1996
878	1552
876	1130
872	2084
868	1629
869	1103
863	924
864	725
864	1179
859	2371
855	1678
854	1742
856	1852
855	1511
847	1740
846	1426
845	2429
842	2224
844	1696
841	1920
841	1113
838	667
836	1270
834	1948
836	339
831	1194
831	1154
833	107
831	23
829	825
829	198
827	1563
827	2023
824	1749
823	1624
823	928
822	147
820	1713
818	1036
817	990
815	1181
811	1161
810	185
808	906
807	833
803	1202
803	2050
802	1967
802	952
800	2421
798	637
796	1648
795	1996
794	2021
793	449
794	2254
794	1107
792	413
793	1914
792	593
791	675
787	1859
786	1442
786	397
786	753
783	327
784	1629
781	892
779	1268
777	214
774	1728
773	1689
775	359
771	1709
774	477
771	2238
771	1392
769	1815
766	2189
765	2021
762	979
757	1764
760	96
759	913
758	2422
759	243
756	1960
755	120
755	151
753	1663
749	1126
754	560
751	1606
751	1210
751	1508
748	2140
744	1130
744	1913
742	1303
736	1734
739	1998
738	683
738	535
737	2414
735	2202
730	991
725	1794
727	1961
727	1856
726	756
724	2494
723	2317
723	165
721	2096
723	706
722	1433
717	1764
716	1622
718	1586
716	729
715	1007
711	2549
709	119
704	1938
701	1272
699	582
696	313
693	77
691	967
690	661
685	2528
691	1383
688	993
687	2463
686	2535
681	152
680	1231
681	1817
679	1654
681	421
675	1770
678	1208
678	1039
677	446
671	1132
672	1020
672	811
669	1915
669	946
669	105
668	2009
669	760
665	546
662	1979
661	237
658	1595
657	1185
653	2320
653	1095
652	1343
651	471
647	95
646	117
646	2159
645	1195
643	2066
641	957
641	828
640	2041
637	984
638	226
636	1408
635	671
631	1657
629	1437
627	1242
627	1137
628	1937
627	505
625	422
623	1567
617	1202
617	531
613	245
614	1602
614	1539
606	170
611	321
612	361
608	1448
607	1429
602	175
602	2036
602	110
601	596
595	1834
596	741
595	247
593	670
591	585
593	1113
590	1880
585	720
581	44
580	20
576	1579
577	933
575	2082
575	1363
572	652
571	754
571	531
566	1141
564	2215
562	1329
562	576
562	1507
559	637
559	68
557	1245
554	388
553	1004
551	1805
551	897
548	1477
546	109
545	943
546	492
546	1044
543	2100
542	1962
542	711
541	191
540	1423
540	1208
538	749
536	1463
536	817
534	2188
527	1390
528	1090
527	1500
527	765
526	126
526	1717
523	2504
521	2289
520	1344
519	1076
519	975
518	2134
517	959
511	674
509	1086
507	1483
509	1885
505	168
505	994
503	1052
502	286
502	1294
496	1293
496	956
494	1916
491	1122
492	780
492	655
491	1468
490	857
491	822
488	1555
486	974
486	1535
485	716
483	1217
483	304
480	1164
479	1996
478	1003
478	738
473	156
472	824
470	1347
472	481
470	1264
469	1851
466	1209
468	1110
466	987
466	512
465	85
458	789
454	2449
455	2155
453	1412
453	1483
452	1240
453	431
448	1573
447	695
445	623
446	1035
444	368
441	1065
441	1193
441	563
439	1285
439	816
438	2227
437	1745
438	1545
437	1361
437	901
438	932
435	1937
435	1220
432	1428
429	1463
427	1588
427	1243
427	1841
424	27
422	1316
423	747
423	1104
421	477
418	1817
417	883
415	1149
411	2492
411	825
409	2148
411	1598
410	1197
409	963
406	1376
407	1058
404	1481
405	515
405	69
405	255
402	1263
398	1763
398	1025
396	684
395	2172
392	1432
391	24
389	982
384	1996
386	1813
379	1720
379	1226
379	1001
377	82
377	1131
376	41
376	2031
374	1291
373	1192
373	874
